traffic_type,packet_size,interval_ms,num_stations,ru,mcs,throughput_mbps,mean_delay_ms,mean_jitter_ms,packet_loss_rate,priority,twt_ms
VoIP,160,20,5,5,9,0.075324,0.149949,0.154579,0.000000,3,8
Video,1400,40,5,5,9,0.286560,0.105631,0.028288,0.000000,2,20
HTTP,800,100,5,5,9,0.066802,0.471555,0.275254,0.000000,1,55
VPN,900,80,5,5,9,0.093431,0.090361,0.013479,0.000000,1,60
IoT,64,1000,5,5,9,0.000810,1.048252,1.084879,0.000000,0,280
VoIP,160,20,5,5,11,0.075324,0.139264,0.144277,0.000000,3,8
Video,1400,40,5,5,11,0.286560,0.106325,0.033160,0.000000,2,20
HTTP,800,100,5,5,11,0.066804,0.483337,0.298828,0.000000,1,55
VPN,900,80,5,5,11,0.093431,0.117052,0.040666,0.000000,1,60
IoT,64,1000,5,5,11,0.000810,0.556991,0.546382,0.000000,0,280
VoIP,160,20,5,8,0,0.075324,0.139091,0.141034,0.000000,3,8
Video,1400,40,5,8,0,0.286560,0.091959,0.014696,0.000000,2,20
HTTP,800,100,5,8,0,0.066803,0.433459,0.239412,0.000000,1,55
VPN,900,80,5,8,0,0.093431,0.118248,0.041861,0.000000,1,60
IoT,64,1000,5,8,0,0.000810,0.829533,0.845441,0.000000,0,280
VoIP,160,20,5,8,3,0.075324,0.145444,0.152537,0.000000,3,8
Video,1400,40,5,8,3,0.286560,0.098826,0.021508,0.000000,2,20
HTTP,800,100,5,8,3,0.066804,0.432428,0.279370,0.000000,1,55
VPN,900,80,5,8,3,0.093431,0.123639,0.047335,0.000000,1,60
IoT,64,1000,5,8,3,0.000810,0.828698,0.842785,0.000000,0,280
VoIP,160,20,5,8,6,0.075324,0.146520,0.160475,0.000000,3,8
Video,1400,40,5,8,6,0.286560,0.092285,0.018788,0.000000,2,20
HTTP,800,100,5,8,6,0.066803,0.482623,0.328854,0.000000,1,55
VPN,900,80,5,8,6,0.093431,0.097145,0.020541,0.000000,1,60
IoT,64,1000,5,8,6,0.000810,0.378702,0.347660,0.000000,0,280
VoIP,160,20,5,8,9,0.075324,0.143628,0.151515,0.000000,3,8
Video,1400,40,5,8,9,0.286560,0.112919,0.036505,0.000000,2,20
HTTP,800,100,5,8,9,0.066803,0.451059,0.291346,0.000000,1,55
VPN,900,80,5,8,9,0.093431,0.090546,0.014033,0.000000,1,60
IoT,64,1000,5,8,9,0.000810,0.552711,0.540413,0.000000,0,280
VoIP,160,20,5,8,11,0.075324,0.135822,0.138821,0.000000,3,8
Video,1400,40,5,8,11,0.286560,0.091925,0.014796,0.000000,2,20
HTTP,800,100,5,8,11,0.066802,0.411670,0.260781,0.000000,1,55
VPN,900,80,5,8,11,0.093431,0.137465,0.072105,0.000000,1,60
IoT,64,1000,5,8,11,0.000810,0.912693,0.934904,0.000000,0,280
VoIP,160,20,5,12,0,0.075324,0.140558,0.147230,0.000000,3,8
Video,1400,40,5,12,0,0.286560,0.086265,0.010019,0.000000,2,20
HTTP,800,100,5,12,0,0.066803,0.430655,0.251765,0.000000,1,55
VPN,900,80,5,12,0,0.093431,0.103757,0.026971,0.000000,1,60
IoT,64,1000,5,12,0,0.000810,1.031988,1.067396,0.000000,0,280
VoIP,160,20,5,12,3,0.075324,0.152638,0.165756,0.000000,3,8
Video,1400,40,5,12,3,0.286560,0.116457,0.039103,0.000000,2,20
HTTP,800,100,5,12,3,0.066802,0.416106,0.251393,0.000000,1,55
VPN,900,80,5,12,3,0.093431,0.124184,0.047552,0.000000,1,60
IoT,64,1000,5,12,3,0.000810,0.285440,0.246356,0.000000,0,280
VoIP,160,20,5,12,6,0.075324,0.151597,0.158517,0.000000,3,8
Video,1400,40,5,12,6,0.286560,0.115281,0.041832,0.000000,2,20
HTTP,800,100,5,12,6,0.066803,0.453824,0.268105,0.000000,1,55
VPN,900,80,5,12,6,0.093431,0.143312,0.067153,0.000000,1,60
IoT,64,1000,5,12,6,0.000810,0.639624,0.635518,0.000000,0,280
VoIP,160,20,5,12,9,0.075324,0.146419,0.155058,0.000000,3,8
Video,1400,40,5,12,9,0.286560,0.085398,0.008747,0.000000,2,20
HTTP,800,100,5,12,9,0.066803,0.499183,0.308155,0.000000,1,55
VPN,900,80,5,12,9,0.093431,0.137566,0.061284,0.000000,1,60
IoT,64,1000,5,12,9,0.000810,0.290178,0.251617,0.000000,0,280
VoIP,160,20,5,12,11,0.075324,0.144860,0.152511,0.000000,3,8
Video,1400,40,5,12,11,0.286560,0.085217,0.008005,0.000000,2,20
HTTP,800,100,5,12,11,0.066803,0.430310,0.256811,0.000000,1,55
VPN,900,80,5,12,11,0.093431,0.130803,0.054243,0.000000,1,60
IoT,64,1000,5,12,11,0.000810,0.215069,0.169537,0.000000,0,280
VoIP,160,20,5,18,0,0.075324,0.134170,0.138827,0.000000,3,8
Video,1400,40,5,18,0,0.286560,0.116333,0.038980,0.000000,2,20
HTTP,800,100,5,18,0,0.066804,0.434455,0.240819,0.000000,1,55
VPN,900,80,5,18,0,0.093431,0.109925,0.033293,0.000000,1,60
IoT,64,1000,5,18,0,0.000810,0.275824,0.235593,0.000000,0,280
VoIP,160,20,5,18,3,0.075324,0.148387,0.153735,0.000000,3,8
Video,1400,40,5,18,3,0.286560,0.090485,0.014984,0.000000,2,20
HTTP,800,100,5,18,3,0.066802,0.491042,0.292852,0.000000,1,55
VPN,900,80,5,18,3,0.093431,0.129561,0.059450,0.000000,1,60
IoT,64,1000,5,18,3,0.000810,0.212524,0.165683,0.000000,0,280
VoIP,160,20,5,18,6,0.075324,0.140245,0.146259,0.000000,3,8
Video,1400,40,5,18,6,0.286560,0.098574,0.021215,0.000000,2,20
HTTP,800,100,5,18,6,0.066802,0.409214,0.229118,0.000000,1,55
VPN,900,80,5,18,6,0.093431,0.130790,0.053800,0.000000,1,60
IoT,64,1000,5,18,6,0.000810,0.732549,0.738302,0.000000,0,280
VoIP,160,20,5,18,9,0.075324,0.144441,0.151889,0.000000,3,8
Video,1400,40,5,18,9,0.286560,0.111776,0.034662,0.000000,2,20
HTTP,800,100,5,18,9,0.066804,0.453765,0.265463,0.000000,1,55
VPN,900,80,5,18,9,0.093431,0.090029,0.013543,0.000000,1,60
IoT,64,1000,5,18,9,0.000810,0.732072,0.738046,0.000000,0,280
VoIP,160,20,5,18,11,0.075324,0.138106,0.146649,0.000000,3,8
Video,1400,40,5,18,11,0.286560,0.097182,0.025008,0.000000,2,20
HTTP,800,100,5,18,11,0.066804,0.470064,0.295450,0.000000,1,55
VPN,900,80,5,18,11,0.093431,0.143622,0.067398,0.000000,1,60
IoT,64,1000,5,18,11,0.000810,0.376425,0.345978,0.000000,0,280
VoIP,160,20,5,25,0,0.075324,0.139102,0.140895,0.000000,3,8
Video,1400,40,5,25,0,0.286560,0.095727,0.018447,0.000000,2,20
HTTP,800,100,5,25,0,0.066803,0.464398,0.252480,0.000000,1,55
VPN,900,80,5,25,0,0.093431,0.097205,0.020455,0.000000,1,60
IoT,64,1000,5,25,0,0.000810,0.548894,0.536156,0.000000,0,280
VoIP,160,20,5,25,3,0.075324,0.138124,0.145109,0.000000,3,8
Video,1400,40,5,25,3,0.286560,0.085499,0.008233,0.000000,2,20
HTTP,800,100,5,25,3,0.066804,0.409004,0.231062,0.000000,1,55
VPN,900,80,5,25,3,0.093431,0.137972,0.061395,0.000000,1,60
IoT,64,1000,5,25,3,0.000810,0.642905,0.641974,0.000000,0,280
VoIP,160,20,5,25,6,0.075324,0.132496,0.135490,0.000000,3,8
Video,1400,40,5,25,6,0.286560,0.098750,0.021379,0.000000,2,20
HTTP,800,100,5,25,6,0.066802,0.436472,0.269483,0.000000,1,55
VPN,900,80,5,25,6,0.093431,0.110122,0.033705,0.000000,1,60
IoT,64,1000,5,25,6,0.000810,0.748085,0.756257,0.000000,0,280
VoIP,160,20,5,25,9,0.075324,0.147590,0.150494,0.000000,3,8
Video,1400,40,5,25,9,0.286560,0.089127,0.016355,0.000000,2,20
HTTP,800,100,5,25,9,0.066803,0.445362,0.254413,0.000000,1,55
VPN,900,80,5,25,9,0.093431,0.151434,0.074950,0.000000,1,60
IoT,64,1000,5,25,9,0.000810,0.470435,0.448595,0.000000,0,280
VoIP,160,20,5,25,11,0.075324,0.146317,0.153162,0.000000,3,8
Video,1400,40,5,25,11,0.286560,0.092163,0.015041,0.000000,2,20
HTTP,800,100,5,25,11,0.066802,0.489864,0.294171,0.000000,1,55
VPN,900,80,5,25,11,0.093431,0.103657,0.026574,0.000000,1,60
IoT,64,1000,5,25,11,0.000810,0.830611,0.846086,0.000000,0,280
VoIP,160,20,5,37,0,0.075324,0.142206,0.149919,0.000000,3,8
Video,1400,40,5,37,0,0.286560,0.112901,0.040071,0.000000,2,20
HTTP,800,100,5,37,0,0.066802,0.418133,0.232060,0.000000,1,55
VPN,900,80,5,37,0,0.093431,0.137377,0.060890,0.000000,1,60
IoT,64,1000,5,37,0,0.000810,0.653975,0.652394,0.000000,0,280
VoIP,160,20,5,37,3,0.075324,0.140131,0.145427,0.000000,3,8
Video,1400,40,5,37,3,0.286560,0.112188,0.035070,0.000000,2,20
HTTP,800,100,5,37,3,0.066802,0.457957,0.277735,0.000000,1,55
VPN,900,80,5,37,3,0.093431,0.102344,0.037843,0.000000,1,60
IoT,64,1000,5,37,3,0.000810,0.465331,0.446345,0.000000,0,280
VoIP,160,20,5,37,6,0.075324,0.138120,0.141841,0.000000,3,8
Video,1400,40,5,37,6,0.286560,0.092179,0.014875,0.000000,2,20
HTTP,800,100,5,37,6,0.066803,0.460056,0.245952,0.000000,1,55
VPN,900,80,5,37,6,0.093431,0.153097,0.077064,0.000000,1,60
IoT,64,1000,5,37,6,0.000810,0.463173,0.442655,0.000000,0,280
VoIP,160,20,5,37,9,0.075324,0.140264,0.141030,0.000000,3,8
Video,1400,40,5,37,9,0.286560,0.116811,0.044437,0.000000,2,20
HTTP,800,100,5,37,9,0.066802,0.445955,0.260257,0.000000,1,55
VPN,900,80,5,37,9,0.093431,0.110051,0.033507,0.000000,1,60
IoT,64,1000,5,37,9,0.000810,0.731906,0.738474,0.000000,0,280
VoIP,160,20,5,37,11,0.075324,0.152215,0.160061,0.000000,3,8
Video,1400,40,5,37,11,0.286560,0.088517,0.011384,0.000000,2,20
HTTP,800,100,5,37,11,0.066803,0.461042,0.313305,0.000000,1,55
VPN,900,80,5,37,11,0.093431,0.096438,0.019031,0.000000,1,60
IoT,64,1000,5,37,11,0.000810,0.639803,0.635875,0.000000,0,280
VoIP,160,20,10,1,0,0.075324,0.206994,0.143767,0.000000,3,8
Video,1400,40,10,1,0,0.286560,0.161840,0.082559,0.000000,2,20
HTTP,800,100,10,1,0,0.066803,0.401847,0.223307,0.000000,1,55
VPN,900,80,10,1,0,0.093431,0.187367,0.090294,0.000000,1,60
IoT,64,1000,10,1,0,0.075327,0.235516,0.181605,0.000000,0,280
VoIP,160,20,10,1,0,0.286579,0.129826,0.039502,0.000000,3,8
Video,1400,40,10,1,0,0.066814,0.440087,0.224789,0.000000,2,20
HTTP,800,100,10,1,0,0.093448,0.155248,0.088485,0.000000,1,55
VPN,900,80,10,1,0,0.000810,0.462286,0.439841,0.000000,1,60
IoT,64,1000,10,1,0,0.000810,0.747628,0.638511,0.000000,0,280
VoIP,160,20,10,1,3,0.075324,0.222953,0.164839,0.000000,3,8
Video,1400,40,10,1,3,0.286559,0.132465,0.047860,0.000000,2,20
HTTP,800,100,10,1,3,0.066803,0.410471,0.234625,0.000000,1,55
VPN,900,80,10,1,3,0.093431,0.154219,0.053736,0.000000,1,60
IoT,64,1000,10,1,3,0.075327,0.232228,0.170202,0.000000,0,280
VoIP,160,20,10,1,3,0.286579,0.134761,0.039503,0.000000,3,8
Video,1400,40,10,1,3,0.066811,0.473569,0.270056,0.000000,2,20
HTTP,800,100,10,1,3,0.093448,0.156793,0.079727,0.000000,1,55
VPN,900,80,10,1,3,0.000810,0.563581,0.551660,0.000000,1,60
IoT,64,1000,10,1,3,0.000810,0.865202,1.027902,0.000000,0,280
VoIP,160,20,10,1,6,0.075324,0.228251,0.172680,0.000000,3,8
Video,1400,40,10,1,6,0.286559,0.149191,0.066724,0.000000,2,20
HTTP,800,100,10,1,6,0.066803,0.383878,0.227419,0.000000,1,55
VPN,900,80,10,1,6,0.093431,0.178578,0.087122,0.000000,1,60
IoT,64,1000,10,1,6,0.075327,0.222888,0.159310,0.000000,0,280
VoIP,160,20,10,1,6,0.286579,0.124452,0.035009,0.000000,3,8
Video,1400,40,10,1,6,0.066813,0.486984,0.239460,0.000000,2,20
HTTP,800,100,10,1,6,0.093448,0.154078,0.087051,0.000000,1,55
VPN,900,80,10,1,6,0.000810,0.263954,0.222817,0.000000,1,60
IoT,64,1000,10,1,6,0.000810,0.962413,1.043844,0.000000,0,280
VoIP,160,20,10,1,9,0.075324,0.226088,0.168988,0.000000,3,8
Video,1400,40,10,1,9,0.286560,0.167029,0.082749,0.000000,2,20
HTTP,800,100,10,1,9,0.066803,0.435727,0.268453,0.000000,1,55
VPN,900,80,10,1,9,0.093431,0.182618,0.087392,0.000000,1,60
IoT,64,1000,10,1,9,0.075327,0.227803,0.170711,0.000000,0,280
VoIP,160,20,10,1,9,0.286579,0.138996,0.054564,0.000000,3,8
Video,1400,40,10,1,9,0.066812,0.396288,0.224192,0.000000,2,20
HTTP,800,100,10,1,9,0.093448,0.185678,0.111941,0.000000,1,55
VPN,900,80,10,1,9,0.000810,0.264941,0.224278,0.000000,1,60
IoT,64,1000,10,1,9,0.000810,0.810309,0.676296,0.000000,0,280
VoIP,160,20,10,1,11,0.075324,0.215191,0.154306,0.000000,3,8
Video,1400,40,10,1,11,0.286560,0.161068,0.084678,0.000000,2,20
HTTP,800,100,10,1,11,0.066802,0.386394,0.194317,0.000000,1,55
VPN,900,80,10,1,11,0.093431,0.140676,0.038103,0.000000,1,60
IoT,64,1000,10,1,11,0.075327,0.220652,0.165215,0.000000,0,280
VoIP,160,20,10,1,11,0.286579,0.110090,0.016818,0.000000,3,8
Video,1400,40,10,1,11,0.066811,0.453064,0.259314,0.000000,2,20
HTTP,800,100,10,1,11,0.093448,0.179667,0.099768,0.000000,1,55
VPN,900,80,10,1,11,0.000810,0.558871,0.547254,0.000000,1,60
IoT,64,1000,10,1,11,0.000810,0.898207,1.076666,0.000000,0,280
VoIP,160,20,10,3,0,0.075324,0.209810,0.148020,0.000000,3,8
Video,1400,40,10,3,0,0.286560,0.162426,0.082231,0.000000,2,20
HTTP,800,100,10,3,0,0.066804,0.400234,0.239413,0.000000,1,55
VPN,900,80,10,3,0,0.093431,0.162527,0.073275,0.000000,1,60
IoT,64,1000,10,3,0,0.075327,0.230355,0.163750,0.000000,0,280
VoIP,160,20,10,3,0,0.286579,0.118069,0.026879,0.000000,3,8
Video,1400,40,10,3,0,0.066813,0.484244,0.241337,0.000000,2,20
HTTP,800,100,10,3,0,0.093448,0.129770,0.064325,0.000000,1,55
VPN,900,80,10,3,0,0.000810,0.923104,0.947065,0.000000,1,60
IoT,64,1000,10,3,0,0.000810,0.461930,0.568123,0.000000,0,280
VoIP,160,20,10,3,3,0.075324,0.211794,0.151705,0.000000,3,8
Video,1400,40,10,3,3,0.286560,0.150649,0.082619,0.000000,2,20
HTTP,800,100,10,3,3,0.066802,0.421388,0.264105,0.000000,1,55
VPN,900,80,10,3,3,0.093431,0.195784,0.101919,0.000000,1,60
IoT,64,1000,10,3,3,0.075327,0.226027,0.168277,0.000000,0,280
VoIP,160,20,10,3,3,0.286579,0.134399,0.050695,0.000000,3,8
Video,1400,40,10,3,3,0.066812,0.443520,0.239724,0.000000,2,20
HTTP,800,100,10,3,3,0.093448,0.194619,0.114651,0.000000,1,55
VPN,900,80,10,3,3,0.000810,0.821680,0.835325,0.000000,1,60
IoT,64,1000,10,3,3,0.000810,0.863850,0.972304,0.000000,0,280
VoIP,160,20,10,3,6,0.075324,0.206794,0.145947,0.000000,3,8
Video,1400,40,10,3,6,0.286559,0.145412,0.066509,0.000000,2,20
HTTP,800,100,10,3,6,0.066804,0.382358,0.231878,0.000000,1,55
VPN,900,80,10,3,6,0.093431,0.162843,0.061095,0.000000,1,60
IoT,64,1000,10,3,6,0.075327,0.222246,0.164281,0.000000,0,280
VoIP,160,20,10,3,6,0.286579,0.118916,0.032848,0.000000,3,8
Video,1400,40,10,3,6,0.066814,0.432835,0.225657,0.000000,2,20
HTTP,800,100,10,3,6,0.093448,0.188633,0.106283,0.000000,1,55
VPN,900,80,10,3,6,0.000810,1.077056,1.115800,0.000000,1,60
IoT,64,1000,10,3,6,0.000810,1.097651,1.255196,0.000000,0,280
VoIP,160,20,10,3,9,0.075324,0.216585,0.160126,0.000000,3,8
Video,1400,40,10,3,9,0.286560,0.152293,0.074930,0.000000,2,20
HTTP,800,100,10,3,9,0.066803,0.393110,0.231779,0.000000,1,55
VPN,900,80,10,3,9,0.093431,0.179045,0.090138,0.000000,1,60
IoT,64,1000,10,3,9,0.075327,0.229803,0.163745,0.000000,0,280
VoIP,160,20,10,3,9,0.286579,0.138139,0.049047,0.000000,3,8
Video,1400,40,10,3,9,0.066814,0.484529,0.270725,0.000000,2,20
HTTP,800,100,10,3,9,0.093448,0.144124,0.075935,0.000000,1,55
VPN,900,80,10,3,9,0.000810,0.740931,0.746273,0.000000,1,60
IoT,64,1000,10,3,9,0.000810,0.783260,0.774924,0.000000,0,280
VoIP,160,20,10,3,11,0.075324,0.212442,0.153398,0.000000,3,8
Video,1400,40,10,3,11,0.286560,0.154221,0.071270,0.000000,2,20
HTTP,800,100,10,3,11,0.066802,0.442184,0.271748,0.000000,1,55
VPN,900,80,10,3,11,0.093431,0.155430,0.075106,0.000000,1,60
IoT,64,1000,10,3,11,0.075327,0.235723,0.176381,0.000000,0,280
VoIP,160,20,10,3,11,0.286579,0.126566,0.039626,0.000000,3,8
Video,1400,40,10,3,11,0.066812,0.496136,0.272329,0.000000,2,20
HTTP,800,100,10,3,11,0.093448,0.151186,0.082392,0.000000,1,55
VPN,900,80,10,3,11,0.000810,0.554959,0.543106,0.000000,1,60
IoT,64,1000,10,3,11,0.000810,0.504258,0.733829,0.000000,0,280
VoIP,160,20,10,5,0,0.075324,0.219353,0.163025,0.000000,3,8
Video,1400,40,10,5,0,0.286560,0.132747,0.051761,0.000000,2,20
HTTP,800,100,10,5,0,0.066803,0.388859,0.211714,0.000000,1,55
VPN,900,80,10,5,0,0.093431,0.180345,0.086802,0.000000,1,60
IoT,64,1000,10,5,0,0.075327,0.217116,0.154472,0.000000,0,280
VoIP,160,20,10,5,0,0.286579,0.128636,0.037204,0.000000,3,8
Video,1400,40,10,5,0,0.066814,0.432218,0.219232,0.000000,2,20
HTTP,800,100,10,5,0,0.093448,0.191831,0.123030,0.000000,1,55
VPN,900,80,10,5,0,0.000810,0.925096,0.951223,0.000000,1,60
IoT,64,1000,10,5,0,0.000810,0.712297,0.679630,0.000000,0,280
VoIP,160,20,10,5,3,0.075324,0.218966,0.162401,0.000000,3,8
Video,1400,40,10,5,3,0.286560,0.155031,0.084725,0.000000,2,20
HTTP,800,100,10,5,3,0.066802,0.407796,0.247694,0.000000,1,55
VPN,900,80,10,5,3,0.093431,0.163409,0.072216,0.000000,1,60
IoT,64,1000,10,5,3,0.075327,0.224479,0.160447,0.000000,0,280
VoIP,160,20,10,5,3,0.286579,0.107347,0.019855,0.000000,3,8
Video,1400,40,10,5,3,0.066812,0.466702,0.248396,0.000000,2,20
HTTP,800,100,10,5,3,0.093448,0.196722,0.129322,0.000000,1,55
VPN,900,80,10,5,3,0.000810,0.828115,0.841690,0.000000,1,60
IoT,64,1000,10,5,3,0.000810,1.365278,1.337958,0.000000,0,280
VoIP,160,20,10,5,6,0.075324,0.224230,0.169511,0.000000,3,8
Video,1400,40,10,5,6,0.286560,0.161306,0.091857,0.000000,2,20
HTTP,800,100,10,5,6,0.066804,0.450641,0.267607,0.000000,1,55
VPN,900,80,10,5,6,0.093431,0.182775,0.088490,0.000000,1,60
IoT,64,1000,10,5,6,0.075327,0.221854,0.168139,0.000000,0,280
VoIP,160,20,10,5,6,0.286579,0.116549,0.027609,0.000000,3,8
Video,1400,40,10,5,6,0.066813,0.454476,0.247943,0.000000,2,20
HTTP,800,100,10,5,6,0.093448,0.144755,0.074711,0.000000,1,55
VPN,900,80,10,5,6,0.000810,0.825102,0.840151,0.000000,1,60
IoT,64,1000,10,5,6,0.000810,0.882608,1.001966,0.000000,0,280
VoIP,160,20,10,5,9,0.075324,0.222699,0.163949,0.000000,3,8
Video,1400,40,10,5,9,0.286560,0.159802,0.089969,0.000000,2,20
HTTP,800,100,10,5,9,0.066802,0.414460,0.230384,0.000000,1,55
VPN,900,80,10,5,9,0.093429,0.208185,0.114860,0.000000,1,60
IoT,64,1000,10,5,9,0.075326,0.222956,0.164036,0.000000,0,280
VoIP,160,20,10,5,9,0.286579,0.114962,0.029242,0.000000,3,8
Video,1400,40,10,5,9,0.066812,0.441514,0.224613,0.000000,2,20
HTTP,800,100,10,5,9,0.093448,0.186785,0.115488,0.000000,1,55
VPN,900,80,10,5,9,0.000810,0.552139,0.538829,0.000000,1,60
IoT,64,1000,10,5,9,0.000810,1.241694,1.172199,0.000000,0,280
VoIP,160,20,10,5,11,0.075324,0.218360,0.160561,0.000000,3,8
Video,1400,40,10,5,11,0.286560,0.156499,0.077702,0.000000,2,20
HTTP,800,100,10,5,11,0.066802,0.414672,0.251964,0.000000,1,55
VPN,900,80,10,5,11,0.093431,0.176664,0.088334,0.000000,1,60
IoT,64,1000,10,5,11,0.075327,0.227087,0.162456,0.000000,0,280
VoIP,160,20,10,5,11,0.286579,0.117443,0.030682,0.000000,3,8
Video,1400,40,10,5,11,0.066813,0.476398,0.261726,0.000000,2,20
HTTP,800,100,10,5,11,0.093448,0.147648,0.080878,0.000000,1,55
VPN,900,80,10,5,11,0.000810,0.833657,0.849195,0.000000,1,60
IoT,64,1000,10,5,11,0.000810,0.543395,0.507222,0.000000,0,280
VoIP,160,20,10,8,0,0.075324,0.208939,0.146860,0.000000,3,8
Video,1400,40,10,8,0,0.286560,0.163966,0.087167,0.000000,2,20
HTTP,800,100,10,8,0,0.066804,0.451366,0.282508,0.000000,1,55
VPN,900,80,10,8,0,0.093431,0.140356,0.055298,0.000000,1,60
IoT,64,1000,10,8,0,0.075327,0.231713,0.170550,0.000000,0,280
VoIP,160,20,10,8,0,0.286579,0.143260,0.048620,0.000000,3,8
Video,1400,40,10,8,0,0.066813,0.483319,0.269730,0.000000,2,20
HTTP,800,100,10,8,0,0.093448,0.186794,0.128117,0.000000,1,55
